project_id,ICR_outratingind,ICR_completion_riskdo,ICR_overallrating,ICR_bankqualityentry,ICR_banksupervision,ICR_borroverall,ICR_borrgovt,ICR_borrimplegency,IEG_outcome,IEG_evaluation_riskdo,IEG_bankqualityatentry,IEG_bankqualityofsupervision,IEG_overallbankperf,IEG_overallborrowperf,IEG_borrowcompliance,IEG_borrowimplementation,IEG_icrquality,IEG_mequality
P111995,,NIL,,,,,,,,NIL,,,,,,,,NIL
P115177,Moderately Satisfactory,NIL,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,MODERATELY SATISFACTORY,NEGLIGIBLE TO LOW,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,MODEST
P112096,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,MODERATELY SATISFACTORY,MODERATE,MODERATELY UNSATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,SUBSTANTIAL
P096926,Highly Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,SATISFACTORY,MODERATE,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL,MODEST
P087140,Moderately Satisfactory,NIL,Moderately Satisfactory,,,,,,,NIL,,,,,,,,NIL
P111633,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,MODERATELY SATISFACTORY,MODERATE,MODERATELY SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL,SUBSTANTIAL
P105122,Satisfactory,NIL,Satisfactory,,,,,,,NIL,,,,,,,,NIL
P105404,Highly Satisfactory,NIL,Highly Satisfactory,Satisfactory,Highly Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,NIL,,,,,,,,NIL
P091950,Satisfactory,NIL,Satisfactory,,,,,,,NIL,,,,,,,,NIL
P105680,,NIL,,,,,,,,NIL,,,,,,,,NIL
P101829,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,SATISFACTORY,MODERATE,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL,SUBSTANTIAL
P116064,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,MODERATELY SATISFACTORY,SIGNIFICANT,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,SATISFACTORY,MODEST
P104649,,NIL,,,,,,,,NIL,,,,,,,,NIL
P095847,Moderately Unsatisfactory,NIL,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Moderately Satisfactory,UNSATISFACTORY,SIGNIFICANT,UNSATISFACTORY,UNSATISFACTORY,UNSATISFACTORY,UNSATISFACTORY,UNSATISFACTORY,MODERATELY UNSATISFACTORY,HIGH,LOW
P113456,Moderately Satisfactory,NIL,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Satisfactory,,,MODERATELY SATISFACTORY,SIGNIFICANT,SATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,MODEST
P102608,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,MODERATELY SATISFACTORY,SIGNIFICANT,MODERATELY SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,SATISFACTORY,SUBSTANTIAL
P115801,,NIL,,,,,,,,NIL,,,,,,,,NIL
P096812,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,,NIL,,,,,,,,NIL
